Brand,Model,Availability,Availability_Status,Range(in_mile),Efficiency(Wh/mile),Weight_in_Kg,t_0_60_mph,Battery_Capacity(kWh),Seating_Capacity,Boot Space(in_Litres),Price_Per_Range(in_£),Model Price(in_£)
Peugeot,e-3008 73 kWh,Available,to order since January 2024,235,311.0,2183.0,8.8,73.0,5,588.0,196.0,45960
Volkswagen,ID.4 Pro,Available,to order since November 2023,275,280.0,2144.0,6.7,77.0,5,543.0,167.0,46035
Volkswagen,ID.3 Pro S,Available,to order since June 2024,290,266.0,1957.0,7.1,77.0,5,385.0,135.0,39190
Volkswagen,ID.7 Pro,Available,to order since November 2023,295,261.0,2172.0,6.5,77.0,5,532.0,175.0,51550
Vauxhall,Mokka-e,Discontinued,(December 2021 - January 2024),160,289.0,1598.0,9.2,46.3,5,310.0,229.0,36610
Tesla,Model 3 Long Range AWD (Highland),Available,to order since October 2023,325,231.0,1899.0,4.4,75.0,5,682.0,154.0,49990
Dacia,Spring Electric 45,Available,to order since September 2024,100,250.0,1009.0,19.1,25.0,4,343.0,150.0,14995
MG,MG4 EV Extended Range,Available,to order since August 2023,265,281.0,1826.0,6.5,74.4,5,363.0,138.0,36495
BMW,iX xDrive 45,Available,to order since January 2025,290,327.0,2525.0,5.1,94.8,5,500.0,260.0,75305
Volkswagen,ID.3 Pro,Discontinued,(May 2023 - May 2024),220,264.0,1815.0,7.3,58.0,5,385.0,205.0,44990
CUPRA,Born 58 kWh,Discontinued,(April 2022 - July 2024),215,270.0,1811.0,7.3,58.0,5,385.0,159.0,34125
Vauxhall,Corsa-e,Discontinued,(December 2021 - October 2023),180,257.0,1530.0,8.1,46.3,5,309.0,189.0,33930
Hyundai,IONIQ 5 84 kWh RWD (MY24),Available,to order since July 2024,280,286.0,2060.0,7.5,80.0,5,577.0,155.0,43400
BYD,SEALION 7 82.5 kWh RWD Comfort,Available,to order since February 2025,255,324.0,2300.0,6.7,82.5,5,578.0,184.0,46990
Jeep,Avenger Electric,Available,to order since June 2023,190,267.0,1595.0,9.0,50.8,5,355.0,183.0,34800
BMW,i3 120 Ah,Discontinued,(November 2018 - July 2022),145,261.0,1345.0,7.3,37.9,4,260.0,233.0,33805
Lexus,UX 300e,Available,to order since April 2023,210,305.0,1850.0,7.5,64.0,5,316.0,190.0,39995
Nissan,Leaf e+,Discontinued,(June 2019 - March 2022),215,274.0,1756.0,7.3,59.0,5,420.0,153.0,32945
Leapmotor,T03,Available,to order since March 2025,140,257.0,1250.0,12.7,36.0,4,210.0,114.0,15995
Tesla,Model 3 Performance,Discontinued,(November 2020 - April 2022),290,262.0,1919.0,3.4,76.0,5,649.0,207.0,59990
Volvo,EX30 Single Motor (MY24-26),Available,to order since June 2023,170,288.0,1840.0,5.7,49.0,5,325.0,194.0,33060
MG,ZS EV,Discontinued,(September 2019 - November 2021),135,315.0,1566.0,8.2,42.5,5,448.0,193.0,26095
BMW,iX xDrive 50,Discontinued,(November 2021 - January 2025),315,334.0,2585.0,4.6,105.2,5,500.0,326.0,102755
BYD,ATTO 3 (MY23-24),Discontinued,(March 2023 - April 2025),205,295.0,1825.0,7.3,60.5,5,440.0,181.0,37195
Polestar,2 Long Range Single Motor (MY24),Discontinued,(January 2023 - September 2024),290,272.0,2084.0,6.2,79.0,5,446.0,169.0,48950
Lotus,Eletre,Available,to order since November 2023,305,357.0,2565.0,4.5,109.0,5,657.0,298.0,90805
Vauxhall,Corsa Electric 51 kWh,Available,to order since July 2023,195,247.0,1544.0,8.1,48.1,5,267.0,156.0,30440
Jaguar,I-Pace EV400,Available,to order since January 2023,235,360.0,2226.0,4.8,84.7,5,532.0,298.0,69995
Renault,Megane E-Tech EV60 220hp (TU2025),Available,to order since May 2025,235,255.0,1719.0,7.4,60.0,5,440.0,138.0,32495
Audi,Q4 e-tron 40,Discontinued,(July 2021 - January 2024),250,306.0,2125.0,8.5,76.6,5,520.0,203.0,50630
Tesla,Model S Plaid,Available,to order from December 2025,345,275.0,2265.0,2.3,95.0,5,798.0,290.0,100000
CUPRA,Tavascan Endurance,Available,to order since September 2024,275,280.0,2178.0,6.8,77.0,5,540.0,172.0,47340
Kia,EV6 RWD,Available,to order since September 2024,280,286.0,2050.0,7.3,80.0,5,542.0,163.0,45585
BMW,iX xDrive 60,Available,to order since January 2025,325,336.0,2580.0,4.6,109.1,5,500.0,286.0,93105
CUPRA,Born VZ,Available,to order since July 2024,285,277.0,1999.0,5.6,79.0,5,385.0,157.0,44625
Hyundai,Kona Electric 64 kWh,Discontinued,(November 2019 - April 2021),240,267.0,1760.0,7.9,64.0,5,361.0,163.0,39150
BYD,ATTO 3 (MY25),Available,to order since April 2025,210,288.0,1825.0,7.3,60.5,5,440.0,180.0,37705
Hyundai,INSTER Standard Range,Available,to order since October 2024,155,252.0,1380.0,11.7,39.0,4,280.0,152.0,23495
Peugeot,e-208 50 kWh,Available,to order since January 2024,180,257.0,1530.0,9.0,46.3,5,265.0,181.0,32650
Peugeot,e-5008 73 kWh,Available,to order since July 2024,230,317.0,2260.0,9.7,73.0,7,348.0,212.0,48660
Peugeot,e-2008 SUV,Discontinued,(July 2020 - December 2021),160,289.0,1623.0,8.5,46.3,5,434.0,192.0,30730
Fiat,500e Hatchback 42 kWh,Available,to order since November 2020,145,257.0,1365.0,9.0,37.3,4,185.0,193.0,27995
BMW,iX1 eDrive20,Available,to order since September 2023,240,270.0,1940.0,8.3,64.7,5,490.0,189.0,45465
Audi,Q6 e-tron quattro,Available,to order since May 2024,295,322.0,2400.0,5.9,94.9,5,590.0,234.0,68975
Rolls-Royce,Spectre,Available,to order since November 2023,290,352.0,2965.0,4.5,102.0,4,380.0,1138.0,330000
Toyota,bZ4X FWD,Available,to order since August 2022,215,298.0,1970.0,7.5,64.0,5,452.0,199.0,42860
Peugeot,e-208 51 kWh,Available,to order since November 2023,190,253.0,1550.0,8.2,48.1,5,265.0,171.0,32400
Tesla,Model 3 RWD (Highland CATL LFP60),Discontinued,(October 2023 - May 2025),260,221.0,1836.0,6.1,57.5,5,682.0,154.0,39990
XPENG,G6 RWD Long Range,Available,to order since June 2025,300,292.0,2100.0,6.7,87.5,5,571.0,150.0,44990
BYD,SEALION 7 91.3 kWh AWD Excellence,Available,to order since February 2025,265,345.0,2510.0,4.5,91.3,5,578.0,223.0,58990
Hyundai,IONIQ 5 Long Range 2WD (MY22),Discontinued,(June 2022 - July 2024),240,308.0,2010.0,7.3,74.0,5,584.0,196.0,46945
Polestar,2 Long Range Dual Motor,Discontinued,(September 2021 - January 2023),240,313.0,2188.0,4.7,75.0,5,440.0,206.0,49550
Volvo,EX30 Twin Motor Performance (MY24-26),Available,to order since June 2023,210,310.0,1960.0,3.6,65.0,5,325.0,202.0,42360
Renault,5 E-Tech 40kWh 120hp,Available,to order since May 2025,155,258.0,1447.0,9.0,40.0,5,326.0,148.0,22995
MG,Cyberster GT,Available,to order since April 2024,245,304.0,2060.0,3.2,74.4,2,249.0,245.0,59995
Peugeot,e-208,Discontinued,(December 2021 - December 2023),175,265.0,1530.0,9.0,46.3,5,265.0,181.0,31595
Citroen,e-C4,Discontinued,(December 2021 - December 2024),180,257.0,1636.0,9.7,46.3,5,380.0,178.0,31960
Ford,Explorer Extended Range AWD,Available,to order since March 2024,275,287.0,2167.0,5.3,79.0,5,536.0,196.0,53975
Audi,e-tron 50 quattro,Discontinued,(January 2020 - September 2021),175,370.0,2445.0,6.8,64.7,5,660.0,346.0,60600
Tesla,Model 3 Standard Range Plus,Discontinued,(July 2019 - October 2020),195,251.0,1684.0,5.6,49.0,5,542.0,208.0,40490
Kia,EV6 Long Range AWD,Discontinued,(January 2022 - August 2024),250,296.0,2090.0,5.2,74.0,5,500.0,207.0,51745
CUPRA,Born 59 kWh e-Boost,Available,to order since July 2024,225,262.0,1841.0,6.7,59.0,5,385.0,158.0,35495
BMW,i4 eDrive35,Available,to order since June 2024,265,253.0,2075.0,6.0,67.1,5,470.0,193.0,51270
Ford,Capri Extended Range RWD,Available,to order since July 2024,285,270.0,2098.0,6.4,77.0,5,572.0,169.0,48075
Polestar,2 Long Range Single Motor (MY26),Available,to order since April 2025,295,268.0,2084.0,6.2,79.0,5,448.0,167.0,49160
Tesla,Model S 75D,Discontinued,(May 2016 - April 2019),235,309.0,2183.0,4.4,72.5,5,804.0,308.0,72350
Mercedes-Benz,EQE 350+,Available,to order since July 2024,345,278.0,2415.0,6.5,96.0,5,430.0,198.0,68360
Volkswagen,ID.7 Tourer Pro,Available,to order since May 2024,290,266.0,2191.0,6.6,77.0,5,605.0,180.0,52240
BYD,DOLPHIN SURF 43.2 kWh Boost,Available,to order since May 2025,165,262.0,1445.0,12.1,43.2,4,308.0,133.0,21950
MG,MG5 EV,Discontinued,(November 2020 - November 2021),180,271.0,1607.0,7.7,48.8,5,464.0,145.0,26095
Fiat,Grande Panda,Available,to order since February 2025,160,274.0,1511.0,11.0,43.8,5,361.0,131.0,20975
Porsche,Macan 4 Electric,Available,to order since January 2024,295,322.0,2405.0,5.2,95.0,5,624.0,237.0,69800
Volkswagen,ID.3 Pure,Available,to order since November 2024,205,254.0,1787.0,8.2,52.0,5,385.0,150.0,30850
Volkswagen,ID.4 Pro Performance,Discontinued,(May 2021 - November 2023),255,302.0,2109.0,8.5,77.0,5,543.0,181.0,46035
BYD,DOLPHIN 44.9 kWh Active,Available,to order since September 2024,160,281.0,1650.0,12.3,44.9,5,345.0,164.0,26195
Volkswagen,ID.5 Pro,Available,to order since November 2023,285,270.0,2130.0,6.7,77.0,5,549.0,179.0,50940
Mercedes-Benz,EQB 350 4MATIC,Available,to order since December 2023,215,309.0,2165.0,6.2,66.5,7,495.0,264.0,56810
Audi,Q6 e-tron performance,Available,to order since May 2024,300,316.0,2275.0,6.6,94.9,5,590.0,212.0,63475
BYD,DOLPHIN SURF 30 kWh Active,Available,to order since May 2025,115,261.0,1369.0,11.1,30.0,4,308.0,162.0,18650
Peugeot,e-3008 97 kWh Long Range,Available,to order since October 2024,310,313.0,2241.0,8.7,96.9,5,588.0,157.0,48660
Volkswagen,ID.7 Tourer Pro S,Available,to order since July 2024,320,269.0,2235.0,6.7,86.0,5,605.0,175.0,56140
Nissan,Leaf 30 kWh,Discontinued,(September 2015 - February 2018),105,267.0,1538.0,11.5,28.0,5,370.0,246.0,25825
Audi,A6 Sportback e-tron performance,Available,to order since September 2024,380,250.0,2250.0,5.4,94.9,5,529.0,184.0,69940
BMW,i5 eDrive40 Saloon,Discontinued,(May 2023 - April 2025),290,280.0,2205.0,6.0,81.2,5,490.0,256.0,74105
Volkswagen,ID.3 Pro Performance,Discontinued,(August 2021 - March 2023),215,270.0,1812.0,7.3,58.0,5,385.0,183.0,39425
Volvo,XC40 Recharge Twin Motor (MY24),Discontinued,(December 2022 - March 2024),235,336.0,2170.0,4.8,79.0,5,441.0,220.0,51755
Honda,e:Ny1,Available,to order since November 2023,210,295.0,1730.0,7.6,61.9,5,361.0,190.0,39995
Volkswagen,ID.3 Pro,Discontinued,(March 2021 - August 2021),215,270.0,1805.0,9.6,58.0,5,385.0,132.0,28420
Skoda,Enyaq iV 60,Discontinued,(May 2021 - October 2023),210,276.0,1965.0,8.7,58.0,5,585.0,186.0,38970
Polestar,3 Long Range Performance,Available,to order since November 2022,310,345.0,2660.0,4.7,107.0,5,516.0,263.0,81500
Lexus,RZ 300e,Available,to order since January 2025,225,284.0,2030.0,8.0,64.0,5,522.0,222.0,49995
Mini,Countryman E,Available,to order since February 2024,235,275.0,1940.0,8.6,64.6,5,460.0,179.0,42080
Nissan,Ariya 63kWh,Available,to order since August 2022,205,307.0,1980.0,7.5,63.0,5,468.0,193.0,39645
Volkswagen,e-Up!,Discontinued,(October 2021 - April 2022),125,258.0,1248.0,11.9,32.3,4,250.0,193.0,24085
Audi,A6 Avant e-tron performance,Available,to order since September 2024,360,264.0,2260.0,5.4,94.9,5,529.0,199.0,71740
Tesla,Model Y Long Range AWD Launch Series (Juniper),Discontinued,(January 2025 - April 2025),280,268.0,2072.0,4.3,75.0,5,971.0,218.0,60990
Volkswagen,ID. Buzz LWB GTX,Available,to order since October 2024,215,400.0,2758.0,6.5,86.0,7,1340.0,315.0,67795
Kia,EV6 AWD,Available,to order since September 2024,270,296.0,2160.0,5.2,80.0,5,510.0,193.0,52085
Tesla,Model S Dual Motor,Available,to order from December 2025,355,268.0,2170.0,3.2,95.0,5,798.0,239.0,85000
Smart,EQ fortwo coupe,Discontinued,(January 2020 - April 2023),60,278.0,1095.0,11.6,16.7,2,260.0,370.0,22225
Audi,Q8 e-tron 55 quattro,Discontinued,(December 2022 - November 2024),315,337.0,2585.0,5.6,106.0,5,631.0,256.0,80715
MG,MG4 EV XPOWER,Available,to order since August 2023,200,309.0,1878.0,3.8,61.7,5,363.0,182.0,36495
Volkswagen,ID. Buzz SWB Pro,Available,to order since October 2024,225,351.0,2492.0,7.6,79.0,6,1121.0,262.0,59035
BMW,i4 M50,Discontinued,(November 2021 - May 2024),280,288.0,2290.0,3.9,80.7,5,470.0,254.0,71085
Porsche,Macan Electric,Available,to order since July 2024,305,311.0,2295.0,5.7,95.0,5,624.0,220.0,67200
Mazda,MX-30,Discontinued,(July 2022 - December 2024),105,286.0,1720.0,9.7,30.0,5,366.0,298.0,31250
Peugeot,e-5008 97 kWh Long Range,Available,to order since November 2024,300,323.0,2316.0,9.6,96.9,7,348.0,171.0,51360
Volkswagen,ID.3 GTX Performance,Available,to order since October 2024,290,272.0,1993.0,5.6,79.0,5,385.0,159.0,46225
Mini,Aceman SE,Available,to order since June 2024,180,273.0,1785.0,7.1,49.2,5,300.0,202.0,36300
Nissan,Leaf 24 kWh,Discontinued,(September 2015 - February 2018),80,275.0,1505.0,11.5,22.0,5,370.0,271.0,21680
DS,N°8 FWD Long Range,Available,to order since February 2025,340,286.0,2255.0,7.8,97.2,5,620.0,161.0,54690
BMW,i3s 120 Ah,Discontinued,(November 2018 - July 2022),140,271.0,1365.0,6.9,37.9,4,260.0,249.0,34805
CUPRA,Tavascan VZ,Available,to order since September 2024,265,291.0,2273.0,5.5,77.0,5,540.0,211.0,55935
BYD,SEALION 7 82.5 kWh AWD Design,Available,to order since February 2025,250,330.0,2415.0,4.5,82.5,5,578.0,208.0,51990
Kia,EV4 Sedan Long Range,Available,to order from August 2025,305,256.0,1900.0,7.7,78.0,5,490.0,138.0,42000
Tesla,Model 3 Long Range AWD,Discontinued,(July 2019 - October 2020),285,258.0,1931.0,4.6,73.5,5,542.0,165.0,46990
Polestar,2 Long Range Dual Motor (MY24),Discontinued,(January 2023 - September 2024),280,282.0,2183.0,4.5,79.0,5,446.0,189.0,52950
Hyundai,IONIQ 5 N (MY24),Available,to order since November 2023,240,333.0,2225.0,3.4,80.0,5,480.0,271.0,65000
Ford,Explorer Standard Range RWD,Available,to order since February 2025,190,274.0,1908.0,8.7,52.0,5,536.0,210.0,39875
Vauxhall,Grandland 73 kWh,Available,to order since October 2024,225,324.0,2207.0,9.0,73.0,5,550.0,166.0,37355
Volkswagen,ID.7 Tourer GTX,Available,to order since August 2024,310,277.0,2339.0,5.5,86.0,5,605.0,202.0,62670
Lexus,UX 300e,Discontinued,(March 2021 - April 2023),145,310.0,1860.0,7.5,45.0,5,316.0,240.0,34770
Hyundai,IONIQ 6 Long Range AWD,Available,to order since November 2022,275,269.0,2095.0,5.1,74.0,5,416.0,184.0,50540
MG,ZS EV Standard Range,Available,to order since February 2022,165,297.0,1645.0,8.6,49.0,5,448.0,185.0,30495
Smart,#1 Brabus,Available,to order since September 2023,200,310.0,1975.0,3.9,62.0,5,328.0,225.0,44960
Audi,Q4 e-tron 55 quattro,Available,to order since January 2024,245,314.0,2235.0,5.4,77.0,5,520.0,235.0,57690
Skoda,Enyaq 85x,Discontinued,(October 2023 - January 2025),270,285.0,2222.0,6.6,77.0,5,585.0,180.0,48605
Jaguar,I-Pace EV400,Discontinued,(March 2018 - July 2020),235,360.0,2208.0,4.8,84.7,5,505.0,274.0,64495
Porsche,Taycan 4S,Discontinued,(May 2020 - January 2023),245,290.0,2215.0,4.0,71.0,5,491.0,353.0,86500
Tesla,Model 3 Performance,Discontinued,(April 2022 - October 2023),285,263.0,1919.0,3.4,75.0,5,649.0,203.0,57990
Lexus,RZ 450e,Available,to order since May 2023,215,298.0,2130.0,5.6,64.0,5,522.0,259.0,55595
Skoda,Enyaq 85x,Available,to order since January 2025,280,275.0,2230.0,6.7,77.0,5,585.0,174.0,48760
Audi,A6 Avant e-tron,Available,to order since September 2024,290,261.0,2185.0,6.0,75.8,5,529.0,222.0,64340
Volkswagen,ID. Buzz Pro,Discontinued,(September 2022 - July 2024),210,367.0,2459.0,10.2,77.0,5,1121.0,281.0,59035
Peugeot,e-2008 54 kWh,Available,to order since July 2023,185,275.0,1623.0,9.1,50.8,5,434.0,202.0,37300
Dacia,Spring Electric 65,Available,to order since September 2024,100,250.0,1032.0,13.7,25.0,4,343.0,160.0,15995
Mercedes-Benz,B 250e,Discontinued,(January 2015 - October 2017),90,311.0,1725.0,7.9,28.0,5,501.0,321.0,28875
Vauxhall,Corsa-e,Discontinued,(April 2020 - December 2021),175,265.0,1530.0,8.1,46.3,5,309.0,155.0,27140
CUPRA,Born 77 kWh e-Boost,Available,to order since July 2024,285,270.0,1969.0,7.0,77.0,5,385.0,147.0,41795
Porsche,Taycan,Discontinued,(April 2021 - January 2023),255,278.0,2125.0,5.4,71.0,5,491.0,296.0,75500
Hyundai,IONIQ 5 84 kWh AWD (MY24),Available,to order since July 2024,275,291.0,2165.0,5.3,80.0,5,544.0,185.0,50900
MG,MGS5 EV Standard Range,Available,to order since March 2025,170,277.0,1710.0,8.0,47.1,5,453.0,168.0,28495
CUPRA,Born 77 kWh e-Boost,Discontinued,(April 2022 - July 2024),280,275.0,1946.0,7.0,77.0,4,385.0,142.0,39625
Honda,e,Discontinued,(September 2020 - June 2022),105,271.0,1588.0,9.0,28.5,4,171.0,327.0,34365
Kia,e-Niro 64 kWh,Discontinued,(July 2020 - December 2020),230,278.0,1812.0,7.8,64.0,5,451.0,147.0,33850
Volkswagen,ID.3 Pro,Discontinued,(August 2021 - February 2022),215,270.0,1812.0,9.6,58.0,5,385.0,143.0,30700
Mercedes-Benz,EQA 350 4MATIC,Available,to order since December 2023,215,309.0,2110.0,6.0,66.5,5,340.0,254.0,54510
